date,fight_url,event_url,result,fighter,opponent,division,method,round,time,fighter_url,opponent_url,knockdowns,sub_attempts,pass,reversals,takedowns_landed,takedowns_attempts,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,head_strikes_landed,head_strikes_attempts,body_strikes_landed,body_strikes_attempts,leg_strikes_landed,leg_strikes_attempts,distance_strikes_landed,distance_strikes_attempts,clinch_strikes_landed,clinch_strikes_attempts,ground_strikes_landed,ground_strikes_attempts
"February 13, 2021",http://ufcstats.com/fight-details/be94e5b7a35ce5f2,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Kamaru Usman,Gilbert Burns,Welterweight,KO/TKO,3,0:34,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e,http://ufcstats.com/fighter-details/23024fdfc966410a,2,0,0,2:05,0,0,83,136,93,149,56,105,11,15,16,16,54,100,3,4,26,32
"February 13, 2021",http://ufcstats.com/fight-details/be94e5b7a35ce5f2,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Gilbert Burns,Kamaru Usman,Welterweight,KO/TKO,3,0:34,http://ufcstats.com/fighter-details/23024fdfc966410a,http://ufcstats.com/fighter-details/f1b2aa7853d1ed6e,0,0,0,0:00,0,3,45,108,55,124,18,75,13,14,14,19,44,104,1,4,0,0
"February 13, 2021",http://ufcstats.com/fight-details/25b8c932da5e91f4,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Alexa Grasso,Maycee Barber,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/e8b731feff72294b,http://ufcstats.com/fighter-details/6a740daf1b279661,0,1,1,5:10,0,0,38,81,95,162,24,57,9,14,5,10,25,61,13,20,0,0
"February 13, 2021",http://ufcstats.com/fight-details/25b8c932da5e91f4,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Maycee Barber,Alexa Grasso,Women's Flyweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/6a740daf1b279661,http://ufcstats.com/fighter-details/e8b731feff72294b,0,0,0,3:14,3,5,40,152,50,165,23,130,14,18,3,4,18,119,20,31,2,2
"February 13, 2021",http://ufcstats.com/fight-details/26fbf026beb8e9f8,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Kelvin Gastelum,Ian Heinisch,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/8c0580d4fff106c1,http://ufcstats.com/fighter-details/2e585c701f72fe55,0,0,1,6:50,6,14,38,84,51,115,20,62,10,13,8,9,28,69,8,11,2,4
"February 13, 2021",http://ufcstats.com/fight-details/26fbf026beb8e9f8,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Ian Heinisch,Kelvin Gastelum,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/2e585c701f72fe55,http://ufcstats.com/fighter-details/8c0580d4fff106c1,0,2,1,1:11,1,6,27,67,56,107,10,42,6,11,11,14,26,64,0,0,1,3
"February 13, 2021",http://ufcstats.com/fight-details/54e2490959f66dc2,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Ricky Simon,Brian Kelleher,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/5987b2458f4b5290,http://ufcstats.com/fighter-details/7be14eaed4c74856,0,1,0,8:14,6,9,45,98,72,136,25,73,3,4,17,21,29,74,6,9,10,15
"February 13, 2021",http://ufcstats.com/fight-details/54e2490959f66dc2,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Brian Kelleher,Ricky Simon,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/7be14eaed4c74856,http://ufcstats.com/fighter-details/5987b2458f4b5290,0,0,0,0:12,0,0,19,73,25,83,7,56,4,8,8,9,18,72,1,1,0,0
"February 13, 2021",http://ufcstats.com/fight-details/9201312dd860fa5a,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Julian Marquez,Maki Pitolo,Middleweight,SUB,3,4:17,http://ufcstats.com/fighter-details/d0e1b42d41dab603,http://ufcstats.com/fighter-details/c549573c0df4d676,0,4,1,1:54,0,1,41,100,61,129,37,94,3,4,1,2,18,72,15,16,8,12
"February 13, 2021",http://ufcstats.com/fight-details/9201312dd860fa5a,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Maki Pitolo,Julian Marquez,Middleweight,SUB,3,4:17,http://ufcstats.com/fighter-details/c549573c0df4d676,http://ufcstats.com/fighter-details/d0e1b42d41dab603,0,1,1,9:07,5,11,32,65,70,110,16,46,12,14,4,5,22,52,7,8,3,5
"February 13, 2021",http://ufcstats.com/fight-details/96b1430379c0694a,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Anthony Hernandez,Rodolfo Vieira,Middleweight,SUB,2,1:53,http://ufcstats.com/fighter-details/093e1f5bb73850be,http://ufcstats.com/fighter-details/260e9e0d4954aea6,0,2,1,1:25,0,0,32,50,50,73,28,45,4,5,0,0,28,46,4,4,0,0
"February 13, 2021",http://ufcstats.com/fight-details/96b1430379c0694a,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Rodolfo Vieira,Anthony Hernandez,Middleweight,SUB,2,1:53,http://ufcstats.com/fighter-details/260e9e0d4954aea6,http://ufcstats.com/fighter-details/093e1f5bb73850be,0,0,0,4:00,4,10,9,26,14,32,9,26,0,0,0,0,7,21,2,2,0,3
"February 13, 2021",http://ufcstats.com/fight-details/8cf076524cad5a55,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Belal Muhammad,Dhiego Lima,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/b1b0729d27936f2f,http://ufcstats.com/fighter-details/e9213f53ddeca978,0,0,0,2:42,1,10,129,264,136,284,109,232,20,31,0,1,118,248,11,16,0,0
"February 13, 2021",http://ufcstats.com/fight-details/8cf076524cad5a55,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Dhiego Lima,Belal Muhammad,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/e9213f53ddeca978,http://ufcstats.com/fighter-details/b1b0729d27936f2f,0,0,0,0:00,0,1,69,203,70,206,26,156,17,19,26,28,69,203,0,0,0,0
"February 13, 2021",http://ufcstats.com/fight-details/17616514e8fdacb9,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Polyana Viana,Mallory Martin,Women's Strawweight,SUB,1,3:18,http://ufcstats.com/fighter-details/9673a497a9da119a,http://ufcstats.com/fighter-details/19b7738321cfae42,0,5,0,0:18,0,0,4,16,71,89,0,12,3,3,1,1,4,16,0,0,0,0
"February 13, 2021",http://ufcstats.com/fight-details/17616514e8fdacb9,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Mallory Martin,Polyana Viana,Women's Strawweight,SUB,1,3:18,http://ufcstats.com/fighter-details/19b7738321cfae42,http://ufcstats.com/fighter-details/9673a497a9da119a,0,0,0,2:25,1,1,5,7,14,19,1,3,4,4,0,0,5,7,0,0,0,0
"February 13, 2021",http://ufcstats.com/fight-details/f98e954823bd6e02,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Chris Gutierrez,Andre Ewell,Catch Weight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/45f0cc9d18f35137,http://ufcstats.com/fighter-details/5f6f049d54728e88,1,0,0,1:11,1,1,69,126,72,131,23,59,14,21,32,46,61,116,8,10,0,0
"February 13, 2021",http://ufcstats.com/fight-details/f98e954823bd6e02,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Andre Ewell,Chris Gutierrez,Catch Weight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/5f6f049d54728e88,http://ufcstats.com/fighter-details/45f0cc9d18f35137,0,1,0,0:09,1,1,59,120,62,124,15,56,28,40,16,24,59,119,0,0,0,1
"February 13, 2021",http://ufcstats.com/fight-details/357c5b86ec83b826,http://ufcstats.com/event-details/3f7c14c7eca7195d,W,Gabe Green,Philip Rowe,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/5eb50529a8418b77,http://ufcstats.com/fighter-details/8e382b585a92affe,2,1,0,3:13,2,2,70,152,128,213,36,112,15,20,19,20,51,126,4,7,15,19
"February 13, 2021",http://ufcstats.com/fight-details/357c5b86ec83b826,http://ufcstats.com/event-details/3f7c14c7eca7195d,L,Philip Rowe,Gabe Green,Welterweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/8e382b585a92affe,http://ufcstats.com/fighter-details/5eb50529a8418b77,0,0,2,5:43,2,6,42,86,48,93,25,67,8,10,9,9,40,84,1,1,1,1
"February 06, 2021",http://ufcstats.com/fight-details/8b9bdacca749ec90,http://ufcstats.com/event-details/a1153013cb5f628f,W,Alexander Volkov,Alistair Overeem,Heavyweight,KO/TKO,2,2:06,http://ufcstats.com/fighter-details/279566840aa55bf2,http://ufcstats.com/fighter-details/b4ad3a06ee4d660c,1,0,0,0:11,0,0,54,88,54,88,47,81,3,3,4,4,40,65,11,18,3,5
"February 06, 2021",http://ufcstats.com/fight-details/8b9bdacca749ec90,http://ufcstats.com/event-details/a1153013cb5f628f,L,Alistair Overeem,Alexander Volkov,Heavyweight,KO/TKO,2,2:06,http://ufcstats.com/fighter-details/b4ad3a06ee4d660c,http://ufcstats.com/fighter-details/279566840aa55bf2,0,0,0,0:15,0,1,10,20,10,20,3,13,2,2,5,5,10,20,0,0,0,0
"February 06, 2021",http://ufcstats.com/fight-details/9ef858837dfc65eb,http://ufcstats.com/event-details/a1153013cb5f628f,W,Cory Sandhagen,Frankie Edgar,Bantamweight,KO/TKO,1,0:28,http://ufcstats.com/fighter-details/65f09bacd3957381,http://ufcstats.com/fighter-details/f2688492b9a525a3,1,0,0,0:00,0,0,2,5,2,5,1,3,0,0,1,2,2,5,0,0,0,0
"February 06, 2021",http://ufcstats.com/fight-details/9ef858837dfc65eb,http://ufcstats.com/event-details/a1153013cb5f628f,L,Frankie Edgar,Cory Sandhagen,Bantamweight,KO/TKO,1,0:28,http://ufcstats.com/fighter-details/f2688492b9a525a3,http://ufcstats.com/fighter-details/65f09bacd3957381,0,0,0,0:00,0,0,2,3,2,3,1,2,0,0,1,1,2,3,0,0,0,0
"February 06, 2021",http://ufcstats.com/fight-details/f4fbb11055301e75,http://ufcstats.com/event-details/a1153013cb5f628f,W,Clay Guida,Michael Johnson,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/c47df9303d318c67,http://ufcstats.com/fighter-details/511e82663651438d,0,1,0,6:53,3,7,49,89,65,107,31,71,12,12,6,6,32,72,14,14,3,3
"February 06, 2021",http://ufcstats.com/fight-details/f4fbb11055301e75,http://ufcstats.com/event-details/a1153013cb5f628f,L,Michael Johnson,Clay Guida,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/511e82663651438d,http://ufcstats.com/fighter-details/c47df9303d318c67,0,0,0,3:03,0,0,58,126,70,138,52,113,5,12,1,1,47,115,6,6,5,5
"February 06, 2021",http://ufcstats.com/fight-details/2c81668d1459991f,http://ufcstats.com/event-details/a1153013cb5f628f,W,Alexandre Pantoja,Manel Kape,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/a0f0004aadf10b71,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,0,0,0,0:24,0,1,74,149,77,152,27,83,26,38,21,28,72,146,1,1,1,2
"February 06, 2021",http://ufcstats.com/fight-details/2c81668d1459991f,http://ufcstats.com/event-details/a1153013cb5f628f,L,Manel Kape,Alexandre Pantoja,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,http://ufcstats.com/fighter-details/a0f0004aadf10b71,0,0,0,0:25,2,7,49,91,51,94,36,76,8,8,5,7,49,91,0,0,0,0
"February 06, 2021",http://ufcstats.com/fight-details/bbade63ca780668f,http://ufcstats.com/event-details/a1153013cb5f628f,W,Beneil Dariush,Diego Ferreira,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fighter-details/08af939f41b5a57b,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc,0,0,0,7:23,5,15,62,116,74,132,46,98,10,12,6,6,51,93,3,5,8,18
"February 06, 2021",http://ufcstats.com/fight-details/bbade63ca780668f,http://ufcstats.com/event-details/a1153013cb5f628f,L,Diego Ferreira,Beneil Dariush,Lightweight,S-DEC,3,5:00,http://ufcstats.com/fighter-details/f53d4f21d1b5f2dc,http://ufcstats.com/fighter-details/08af939f41b5a57b,0,0,1,0:58,0,1,54,121,74,145,43,104,10,15,1,2,45,109,5,5,4,7
"February 06, 2021",http://ufcstats.com/fight-details/af8ea6db042674ef,http://ufcstats.com/event-details/a1153013cb5f628f,W,Danilo Marques,Mike Rodriguez,Light Heavyweight,SUB,2,4:52,http://ufcstats.com/fighter-details/687c15b2eddfaa63,http://ufcstats.com/fighter-details/18b602842a24f7c5,0,2,0,7:39,4,7,29,29,55,58,27,27,2,2,0,0,2,2,0,0,27,27
"February 06, 2021",http://ufcstats.com/fight-details/af8ea6db042674ef,http://ufcstats.com/event-details/a1153013cb5f628f,L,Mike Rodriguez,Danilo Marques,Light Heavyweight,SUB,2,4:52,http://ufcstats.com/fighter-details/18b602842a24f7c5,http://ufcstats.com/fighter-details/687c15b2eddfaa63,0,0,0,0:04,0,0,16,24,34,43,3,7,5,6,8,11,11,19,5,5,0,0
"February 06, 2021",http://ufcstats.com/fight-details/464cc19d42446da9,http://ufcstats.com/event-details/a1153013cb5f628f,W,Devonte Smith,Justin Jaynes,Catch Weight,KO/TKO,2,3:38,http://ufcstats.com/fighter-details/207773daeb4afa7b,http://ufcstats.com/fighter-details/304a21d0595e1a08,0,1,0,3:08,1,1,34,65,46,78,25,54,5,7,4,4,21,45,5,8,8,12
"February 06, 2021",http://ufcstats.com/fight-details/464cc19d42446da9,http://ufcstats.com/event-details/a1153013cb5f628f,L,Justin Jaynes,Devonte Smith,Catch Weight,KO/TKO,2,3:38,http://ufcstats.com/fighter-details/304a21d0595e1a08,http://ufcstats.com/fighter-details/207773daeb4afa7b,0,0,1,0:12,0,2,11,27,19,35,6,21,3,4,2,2,10,26,0,0,1,1
"February 06, 2021",http://ufcstats.com/fight-details/8c34e1e0d842618d,http://ufcstats.com/event-details/a1153013cb5f628f,W,Karol Rosa,Joselyne Edwards,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/351c4ec637380ad5,http://ufcstats.com/fighter-details/f9ab66e67240db7b,0,0,0,11:13,4,6,57,84,135,175,33,55,9,10,15,19,27,46,11,14,19,24
"February 06, 2021",http://ufcstats.com/fight-details/8c34e1e0d842618d,http://ufcstats.com/event-details/a1153013cb5f628f,L,Joselyne Edwards,Karol Rosa,Women's Bantamweight,U-DEC,3,5:00,http://ufcstats.com/fighter-details/f9ab66e67240db7b,http://ufcstats.com/fighter-details/351c4ec637380ad5,0,0,1,0:02,1,3,38,59,70,97,22,36,4,8,12,15,31,51,3,3,4,5
