name,height,reach,stance,dob,url
Grigorii Popov,"5' 7""","68""",Switch,"Apr 18, 1984",http://ufcstats.com/fighter-details/d3fa5c5955397532
Anthony Smith,"6' 4""","76""",Orthodox,"Jul 26, 1988",http://ufcstats.com/fighter-details/d4c9dcd330403612
Alexander Gustafsson,"6' 5""","79""",Orthodox,"Jan 15, 1987",http://ufcstats.com/fighter-details/3c6976f8182d9527
Aleksandar Rakic,"6' 4""","78""",Orthodox,"Feb 06, 1992",http://ufcstats.com/fighter-details/333b9e5c723ac873
Jimi Manuwa,"6' 1""","79""",Orthodox,"Feb 18, 1980",http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e
Makwan Amirkhani,"5' 10""","72""",Southpaw,"Nov 08, 1988",http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Chris Fishgold,"5' 8""","68""",Orthodox,"Jun 06, 1992",http://ufcstats.com/fighter-details/bebb4ae55ac2bf6f
Christos Giagos,"5' 10""","71""",Orthodox,"Jan 23, 1990",http://ufcstats.com/fighter-details/de45aaae23dfa392
Damir Hadzovic,"5' 9""","70""",Orthodox,"Aug 08, 1986",http://ufcstats.com/fighter-details/38c626ca912c7bac
Daniel Teymur,"5' 5""","69""",Orthodox,"Feb 03, 1988",http://ufcstats.com/fighter-details/fbf0537e420e698e
Sung Bin Jo,"6' 0""","72""",Orthodox,"Jul 17, 1992",http://ufcstats.com/fighter-details/6e0e977beb909837
Sergey Khandozhko,"6' 1""","74""",Orthodox,"May 19, 1992",http://ufcstats.com/fighter-details/90da09db03e41748
Rostem Akman,"5' 10""","72""",Switch,"Dec 19, 1991",http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Lina Lansberg,"5' 7""","65""",Orthodox,"Mar 13, 1982",http://ufcstats.com/fighter-details/2eeaefbfc7f9fcff
Tonya Evinger,"5' 7""","70""",Orthodox,"Jun 04, 1981",http://ufcstats.com/fighter-details/b12a1d19ee383b7c
Leonardo Santos,"6' 0""","75""",Orthodox,"Feb 05, 1980",http://ufcstats.com/fighter-details/9c65736747ca92ec
Stevie Ray,"5' 10""","70""",Southpaw,"Mar 25, 1990",http://ufcstats.com/fighter-details/31a13532e724ca2b
Frank Camacho,"5' 10""","73""",Orthodox,"May 18, 1989",http://ufcstats.com/fighter-details/764342d39cdaa54a
Nick Hein,"5' 6""","66""",Southpaw,"Apr 24, 1984",http://ufcstats.com/fighter-details/2816ced060a21be3
Bea Malecki,"5' 9""","74""",Orthodox,"Aug 23, 1991",http://ufcstats.com/fighter-details/b60c980f79b87ce8
Duda Santana,"5' 7""","73""",Orthodox,"Jan 10, 1996",http://ufcstats.com/fighter-details/d6ead04919a894b1
Devin Clark,"6' 0""","75""",Orthodox,"Apr 12, 1990",http://ufcstats.com/fighter-details/cc7040fe76f0ef91
Darko Stosic,"6' 0""","76""",Orthodox,"Feb 09, 1992",http://ufcstats.com/fighter-details/025f0b1b58fbad01
Joel Alvarez,"6' 3""","77""",Orthodox,"Mar 02, 1994",http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Danilo Belluardo,"6' 0""","74""",Southpaw,"Jul 21, 1994",http://ufcstats.com/fighter-details/c3f6db17cea09ca7
Rafael Dos Anjos,"5' 8""","70""",Southpaw,"Oct 26, 1984",http://ufcstats.com/fighter-details/6a2f7c151031653d
Kevin Lee,"5' 9""","77""",Orthodox,"Sep 04, 1992",http://ufcstats.com/fighter-details/ee9ebceabfd16fa7
Ian Heinisch,"5' 11""","72""",Orthodox,"Aug 05, 1988",http://ufcstats.com/fighter-details/2e585c701f72fe55
Antonio Carlos Junior,"6' 2""","79""",Orthodox,"Mar 16, 1990",http://ufcstats.com/fighter-details/52e76bb4b3e852f3
Felicia Spencer,"5' 6""","68""",Orthodox,"Nov 29, 1990",http://ufcstats.com/fighter-details/39d91e95949de3d9
Megan Anderson,"6' 0""","72""",Orthodox,"Feb 11, 1990",http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Vicente Luque,"5' 11""","75""",Orthodox,"Nov 27, 1991",http://ufcstats.com/fighter-details/6d4b63c767106d3a
Derrick Krantz,"5' 10""","72""",Orthodox,"Jan 13, 1988",http://ufcstats.com/fighter-details/714e1e0681ddb703
Charles Oliveira,"5' 10""","74""",Orthodox,"Oct 17, 1989",http://ufcstats.com/fighter-details/07225ba28ae309b6
Nik Lentz,"5' 8""","68""",Orthodox,"Aug 13, 1984",http://ufcstats.com/fighter-details/6fb1ba67bef41b37
Davi Ramos,"5' 6""","70""",Orthodox,"Nov 05, 1986",http://ufcstats.com/fighter-details/0052de90691d4a93
Austin Hubbard,"5' 10""","71""",Orthodox,"Dec 22, 1991",http://ufcstats.com/fighter-details/d2cd7a69cc55e7ed
Aspen Ladd,"5' 6""","66""",Orthodox,"Mar 01, 1995",http://ufcstats.com/fighter-details/d4691518d012b9e7
Sijara Eubanks,"5' 4""","67""",,"Apr 27, 1985",http://ufcstats.com/fighter-details/4234f0097c83fa62
Desmond Green,"5' 10""","73""",Southpaw,"Oct 11, 1989",http://ufcstats.com/fighter-details/f046d724d2a84ac5
Charles Jourdain,"5' 9""","69""",Switch,"Nov 27, 1995",http://ufcstats.com/fighter-details/f1d64ae34e088832
Michel Pereira,"6' 1""","73""",Orthodox,"Oct 06, 1993",http://ufcstats.com/fighter-details/595db60957de51d3
Danny Roberts,"6' 1""","74""",Southpaw,"Jul 14, 1987",http://ufcstats.com/fighter-details/a6cba6bb66c1a8c9
Grant Dawson,"5' 10""","72""",Switch,"Feb 20, 1994",http://ufcstats.com/fighter-details/99bd51917728c25d
Michael Trizano,"5' 11""","71""",Orthodox,"Dec 31, 1991",http://ufcstats.com/fighter-details/5bf31a46becc1204
Ed Herman,"6' 1""","77""",Orthodox,"Oct 02, 1980",http://ufcstats.com/fighter-details/06f36cf4bd97ec77
Patrick Cummins,"6' 2""","76""",Orthodox,"Nov 16, 1980",http://ufcstats.com/fighter-details/e51e5cb722bd47a8
Zak Cummings,"6' 0""","75""",Southpaw,"Aug 02, 1984",http://ufcstats.com/fighter-details/4ba8d454f762005d
Trevin Giles,"6' 0""","74""",Orthodox,"Aug 06, 1992",http://ufcstats.com/fighter-details/b27a1fcb56a3035a
Julio Arce,"5' 7""","70""",Southpaw,"Oct 27, 1989",http://ufcstats.com/fighter-details/1291edf2d566a71a
Julian Erosa,"6' 1""","74""",Southpaw,"Jul 31, 1989",http://ufcstats.com/fighter-details/902ec2cc48c8ae8a
Jessica Andrade,"5' 1""","62""",Orthodox,"Sep 25, 1991",http://ufcstats.com/fighter-details/6a1901c62ab3870f
Rose Namajunas,"5' 5""","65""",Orthodox,"Jun 29, 1992",http://ufcstats.com/fighter-details/47b63240018d5d86
Jared Cannonier,"5' 11""","77""",Switch,"Mar 16, 1984",http://ufcstats.com/fighter-details/13a0275fa13c4d26
Anderson Silva,"6' 2""","77""",Southpaw,"Apr 14, 1975",http://ufcstats.com/fighter-details/1f454354805b6f75
Alexander Volkanovski,"5' 6""","71""",Orthodox,"Sep 29, 1988",http://ufcstats.com/fighter-details/e1248941344b3288
Jose Aldo,"5' 7""","70""",Orthodox,"Sep 09, 1986",http://ufcstats.com/fighter-details/d0f3959b4a9747e6
Laureano Staropoli,"6' 1""","71""",Orthodox,"Feb 27, 1993",http://ufcstats.com/fighter-details/a12a8314adc1c1c9
Thiago Alves,"5' 9""","70""",Orthodox,"Oct 03, 1983",http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Irene Aldana,"5' 9""","68""",Orthodox,"Mar 26, 1988",http://ufcstats.com/fighter-details/578ef12674df1e6a
Bethe Correia,"5' 5""","64""",Orthodox,"Jun 22, 1983",http://ufcstats.com/fighter-details/673ea7dcc786b1b3
Ryan Spann,"6' 5""","79""",Orthodox,"Aug 24, 1991",http://ufcstats.com/fighter-details/a67f5afa8d6a1b80
Rogerio Nogueira,"6' 2""","75""",Southpaw,"Jun 02, 1976",http://ufcstats.com/fighter-details/73e09f837f3b5ecc
Thiago Moises,"5' 9""","70""",Orthodox,"Mar 23, 1995",http://ufcstats.com/fighter-details/d945aae53e3e54e6
Kurt Holobaugh,"5' 11""","70""",Orthodox,"Sep 08, 1986",http://ufcstats.com/fighter-details/a7151778b3381036
Warlley Alves,"5' 11""","72""",Orthodox,"Jan 04, 1991",http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Sergio Moraes,"6' 0""","72""",Orthodox,"Jul 23, 1982",http://ufcstats.com/fighter-details/1bcaac2d99b90fce
Clay Guida,"5' 7""","70""",Orthodox,"Dec 08, 1981",http://ufcstats.com/fighter-details/c47df9303d318c67
BJ Penn,"5' 9""","70""",Orthodox,"Dec 13, 1978",http://ufcstats.com/fighter-details/73c7cfa551289285
Luana Carolina,"5' 6""","69""",Orthodox,"Jun 11, 1993",http://ufcstats.com/fighter-details/528b071cf3da7c56
Priscila Cachoeira,"5' 7""","65""",Orthodox,"Aug 19, 1988",http://ufcstats.com/fighter-details/b1e5bcaad32a3cac
Raoni Barcelos,"5' 7""","67""",Orthodox,"May 01, 1987",http://ufcstats.com/fighter-details/b9f28e7045fdfce7
Carlos Huachin,"5' 4""","67""",Southpaw,"Jun 04, 1996",http://ufcstats.com/fighter-details/225def29ecfe0fc1
Viviane Araujo,"5' 4""","68""",Orthodox,"Nov 21, 1986",http://ufcstats.com/fighter-details/36541f1e6c5d4955
